OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
Memory: 4k page, physical 50043736k(31118664k free), swap 57383768k(37498852k free)
CommandLine flags: -XX:InitialHeapSize=67108864 -XX:MaxHeapSize=67108864 -XX:NewRatio=1 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.213: [GC (Allocation Failure) [PSYoungGen: 26620K->3057K(29696K)] 26620K->8515K(62464K), 0.0043274 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.359: [GC (Allocation Failure) [PSYoungGen: 29680K->2192K(29696K)] 35138K->7651K(62464K), 0.0113511 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
0.454: [GC (Allocation Failure) [PSYoungGen: 28816K->3057K(29696K)] 34275K->8628K(62464K), 0.0007286 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.562: [GC (Allocation Failure) [PSYoungGen: 29681K->3057K(29696K)] 35252K->10516K(62464K), 0.0010259 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.656: [GC (Allocation Failure) [PSYoungGen: 29681K->3057K(29696K)] 37140K->12749K(62464K), 0.0014368 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.749: [GC (Allocation Failure) [PSYoungGen: 29681K->3057K(29696K)] 39373K->16984K(62464K), 0.0024127 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.860: [GC (Allocation Failure) [PSYoungGen: 29681K->768K(29696K)] 43608K->15010K(62464K), 0.0011852 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.001: [GC (Allocation Failure) [PSYoungGen: 27361K->1088K(29696K)] 41604K->15355K(62464K), 0.0006160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.113: [GC (Allocation Failure) [PSYoungGen: 27709K->3041K(29696K)] 41976K->17372K(62464K), 0.0004953 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.206: [GC (Allocation Failure) [PSYoungGen: 29661K->3041K(29696K)] 43992K->17612K(62464K), 0.0007083 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.301: [GC (Allocation Failure) [PSYoungGen: 29648K->3041K(29696K)] 44219K->19805K(62464K), 0.0013166 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.410: [GC (Allocation Failure) [PSYoungGen: 29653K->3041K(29696K)] 46417K->22967K(62464K), 0.0013874 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.505: [GC (Allocation Failure) [PSYoungGen: 29636K->3041K(29696K)] 49562K->28033K(62464K), 0.0015967 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.614: [GC (Allocation Failure) [PSYoungGen: 29648K->352K(29696K)] 54640K->25360K(62464K), 0.0007049 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.708: [GC (Allocation Failure) [PSYoungGen: 26972K->1792K(28160K)] 51980K->26816K(60928K), 0.0004933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.802: [GC (Allocation Failure) [PSYoungGen: 27904K->3041K(28672K)] 52928K->28113K(61440K), 0.0008656 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.912: [GC (Allocation Failure) [PSYoungGen: 28634K->3041K(28160K)] 53706K->28121K(60928K), 0.0005880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.007: [GC (Allocation Failure) [PSYoungGen: 28097K->2016K(26624K)] 53177K->28513K(59392K), 0.0008169 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.103: [GC (Allocation Failure) [PSYoungGen: 26592K->3041K(27136K)] 53089K->29714K(59904K), 0.0011170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.212: [GC (Allocation Failure) [PSYoungGen: 27101K->960K(25088K)] 53774K->27641K(57856K), 0.0005537 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.306: [GC (Allocation Failure) [PSYoungGen: 24512K->3041K(26112K)] 51193K->34764K(58880K), 0.0015545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.308: [Full GC (Ergonomics) [PSYoungGen: 3041K->0K(26112K)] [ParOldGen: 31723K->8377K(32768K)] 34764K->8377K(58880K), [Metaspace: 2885K->2885K(1056768K)], 0.0044509 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.400: [GC (Allocation Failure) [PSYoungGen: 23016K->2529K(26112K)] 31394K->12795K(58880K), 0.0007591 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.508: [GC (Allocation Failure) [PSYoungGen: 26053K->3041K(26624K)] 36320K->13572K(59392K), 0.0013316 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.603: [GC (Allocation Failure) [PSYoungGen: 26590K->2209K(29696K)] 37121K->12747K(62464K), 0.0007383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.711: [GC (Allocation Failure) [PSYoungGen: 28814K->2721K(29696K)] 39353K->13275K(62464K), 0.0011982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.805: [GC (Allocation Failure) [PSYoungGen: 29328K->3041K(29696K)] 39882K->15212K(62464K), 0.0009868 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.902: [GC (Allocation Failure) [PSYoungGen: 29651K->3041K(29696K)] 41823K->17686K(62464K), 0.0012028 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.011: [GC (Allocation Failure) [PSYoungGen: 29665K->3041K(29696K)] 44310K->21640K(62464K), 0.0091551 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
3.106: [GC (Allocation Failure) [PSYoungGen: 29665K->320K(29696K)] 48264K->18926K(62464K), 0.0005451 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.215: [GC (Allocation Failure) [PSYoungGen: 26944K->3041K(29696K)] 45550K->26474K(62464K), 0.0011057 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.310: [GC (Allocation Failure) [PSYoungGen: 29665K->1120K(29696K)] 53098K->24569K(62464K), 0.0008105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.404: [GC (Allocation Failure) [PSYoungGen: 27744K->1568K(28672K)] 51193K->25025K(61440K), 0.0006119 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.515: [GC (Allocation Failure) [PSYoungGen: 27680K->2721K(29184K)] 51137K->26186K(61952K), 0.0013485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.607: [GC (Allocation Failure) [PSYoungGen: 28833K->3041K(29696K)] 52298K->27282K(62464K), 0.0010183 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.700: [GC (Allocation Failure) [PSYoungGen: 29665K->3041K(29696K)] 53906K->28227K(62464K), 0.0008962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.809: [GC (Allocation Failure) [PSYoungGen: 29665K->3041K(29696K)] 54851K->30612K(62464K), 0.0010524 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.907: [GC (Allocation Failure) [PSYoungGen: 29665K->3041K(29696K)] 57236K->33029K(62464K), 0.0009101 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.908: [Full GC (Ergonomics) [PSYoungGen: 3041K->0K(29696K)] [ParOldGen: 29988K->5888K(32768K)] 33029K->5888K(62464K), [Metaspace: 2888K->2888K(1056768K)], 0.0025040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.014: [GC (Allocation Failure) [PSYoungGen: 26624K->3041K(29696K)] 32512K->12771K(62464K), 0.0012007 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.109: [GC (Allocation Failure) [PSYoungGen: 29665K->128K(29696K)] 39395K->9866K(62464K), 0.0007708 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.204: [GC (Allocation Failure) [PSYoungGen: 26752K->3041K(29696K)] 36490K->17942K(62464K), 0.0015962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.357: [GC (Allocation Failure) [PSYoungGen: 29665K->1472K(29696K)] 44566K->16381K(62464K), 0.0007699 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.451: [GC (Allocation Failure) [PSYoungGen: 28096K->1952K(29696K)] 43005K->16869K(62464K), 0.0013875 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.560: [GC (Allocation Failure) [PSYoungGen: 28576K->3041K(29696K)] 43493K->18398K(62464K), 0.0007301 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
