OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
Memory: 4k page, physical 50043736k(31629432k free), swap 57383768k(37955188k free)
CommandLine flags: -XX:InitialHeapSize=67108864 -XX:MaxHeapSize=67108864 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.205: [GC (Allocation Failure) [PSYoungGen: 16379K->2545K(18944K)] 16379K->7267K(62976K), 0.0173066 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
0.243: [GC (Allocation Failure) [PSYoungGen: 18929K->2545K(18944K)] 23651K->11909K(62976K), 0.0016770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.290: [GC (Allocation Failure) [PSYoungGen: 18901K->2545K(18944K)] 28265K->16555K(62976K), 0.0015520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.399: [GC (Allocation Failure) [PSYoungGen: 18904K->2545K(18944K)] 32915K->20005K(62976K), 0.0012446 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.446: [GC (Allocation Failure) [PSYoungGen: 18929K->2529K(18944K)] 36389K->23383K(62976K), 0.0015431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.494: [GC (Allocation Failure) [PSYoungGen: 18913K->2545K(9728K)] 39767K->26568K(53760K), 0.0013552 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.540: [GC (Allocation Failure) [PSYoungGen: 9698K->4450K(14336K)] 33722K->28729K(58368K), 0.0009491 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.587: [GC (Allocation Failure) [PSYoungGen: 11602K->3457K(14336K)] 35882K->27761K(58368K), 0.0009926 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.588: [GC (Allocation Failure) [PSYoungGen: 10617K->800K(14336K)] 34921K->25120K(58368K), 0.0009380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.590: [GC (Allocation Failure) [PSYoungGen: 7954K->7139K(14336K)] 32273K->32243K(58368K), 0.0017324 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.650: [GC (Allocation Failure) [PSYoungGen: 14293K->6851K(14336K)] 39397K->31971K(58368K), 0.0013681 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.697: [GC (Allocation Failure) [PSYoungGen: 14005K->5794K(14336K)] 39125K->30930K(58368K), 0.0006443 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.698: [GC (Allocation Failure) [PSYoungGen: 12949K->4738K(14336K)] 38085K->29882K(58368K), 0.0007447 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.742: [GC (Allocation Failure) [PSYoungGen: 11892K->3681K(14336K)] 37036K->28841K(58368K), 0.0007025 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.788: [GC (Allocation Failure) [PSYoungGen: 10836K->2625K(14336K)] 35996K->27801K(58368K), 0.0009589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.790: [GC (Allocation Failure) [PSYoungGen: 9779K->1568K(14336K)] 34955K->26752K(58368K), 0.0006515 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.850: [GC (Allocation Failure) [PSYoungGen: 8723K->512K(14336K)] 33907K->25704K(58368K), 0.0005791 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.851: [GC (Allocation Failure) [PSYoungGen: 7666K->7139K(14336K)] 32858K->32795K(58368K), 0.0009968 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.897: [GC (Allocation Failure) [PSYoungGen: 14295K->5058K(14336K)] 39952K->30714K(58368K), 0.0007962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
